,mean_freq,std_freq,min_freq,max_freq,mean_bw,count
Bearded Seal (Erignathus barbatus),1676.898193359375,3215.9853435317664,21.533203125,8031.884765625,52.17660757211539,52.0
Bottlenose Dolphin (Tursiops truncatus,6503.02734375,3125.8023689164875,796.728515625,10594.3359375,116.63818359375,24.0
Atlantic Spotted Dolphin (Stenella frontalis),2018.73779296875,3450.7233950364116,21.533203125,8161.083984375,53.461745689655174,58.0
False Killer Whale (Pseudorca crassidens),6331.168005601415,2523.3368529628383,3294.580078125,17614.16015625,103.65135063559322,59.0
Finback Whale (Balaenoptera physalus),60.06630345394737,14.949603021171766,21.533203125,86.1328125,48.234375,50.0
"Best of Beluga, White Whale (Delphinapterus leucas)",239.3121892755682,673.2858549631013,21.533203125,3359.1796875,55.5556640625,50.0
Bowhead Whale (Balaena mysticetus),262.05501916273585,230.2438735275753,64.599609375,1291.9921875,64.599609375,60.0
Common Dolphin (Delphinus delphis),4448.6433699324325,5541.320028523996,21.533203125,17980.224609375,60.04450871394231,52.0
Humpback Whale (Megaptera novaeangliae),211.871337890625,231.69740805922885,43.06640625,1012.060546875,58.206939697265625,64.0
"Grampus, Rissos Dolphin (Grampus griseus)",4552.183418843284,5725.4078666047235,21.533203125,20714.94140625,123.41417910447761,67.0
Killer Whale (Orcinus orca),1360.506924715909,1094.4375565335467,64.599609375,3208.447265625,38.14453125,35.0
Clymene Dolphin (Stenella clymene),5391.547539893617,6719.07674771423,21.533203125,16774.365234375,74.853515625,63.0
Frasers Dolphin (Lagenodelphis hosei),6651.96533203125,5940.692680779531,21.533203125,16279.1015625,87.86536907327586,87.0
Hydrothermal_vent,39.88401297047652,74.57683084894919,21.533203125,882.861328125,67.5099164006829,4210.0
Rain,69.0984571129707,74.25128393247617,21.533203125,2820.849609375,157.56426542914346,3590.0
Volcanos,58.65016810568496,22.902538863769294,21.533203125,1012.060546875,68.64358952459723,4345.0
Submarine,648.687744140625,401.9040554612711,43.06640625,1055.126953125,43.18459878859348,2915.0
Ice break,174.4884072580645,125.01773948178297,64.599609375,7665.8203125,64.38588031172456,4030.0
Earthquake,43.071746826171875,0.5873419896335612,21.533203125,64.599609375,82.85369873046875,4032.0
Waves,134.3902587890625,41.201805508613155,64.599609375,689.0625,156.23582604502354,4034.0
Lighting,80.27558681927201,12.634972998869292,21.533203125,301.46484375,84.02904964956566,4432.0
Hurricane,27.62703028972783,19.103334227922314,21.533203125,710.595703125,74.3159641729337,3424.0
Icrberg collisions,119.74600883152173,62.37524860057866,21.533203125,581.396484375,147.09451426630434,4026.0
